id,name_en,name_ar,aliases,created_by_user_id,servings,total_yield_grams,calories_per_serving,protein_grams_per_serving,carbohydrate_grams_per_serving,fat_grams_per_serving,country_code,cuisine,source,external_source_id,source_version,is_active,archived_at,created_at,updated_at,instructions
fad64933-5394-4ef1-998b-57cb4cdded94,Grilled Chicken with Rice and Baladi Salad,دجاج مشوي مع أرز وسلطة بلدي,"[""Egyptian grilled chicken and rice"", ""Chicken rice salad""]",,4.00,1800.00,508.00,45.00,55.00,12.00,EG,Egyptian,Spotter Curated,spotter-seed-2026-001,seed-v1.0,true,,2026-09-01T17:04:00+03:00,2026-09-01T17:04:00+03:00,"Season chicken with lemon, garlic, cumin, paprika, salt, and pepper; grill until cooked through; serve with cooked rice and a tomato-cucumber baladi salad."
69e79323-e61e-4341-ae19-fc488f22b0b6,Shish Tawook with Rice and Grilled Vegetables,شيش طاووق مع أرز وخضار مشوية,"[""Shish taouk"", ""Chicken tawook""]",,4.00,1680.00,491.00,46.00,52.00,11.00,,Middle Eastern,Spotter Curated,spotter-seed-2026-002,seed-v1.0,true,,2026-09-01T17:04:00+03:00,2026-09-01T17:04:00+03:00,"Marinate chicken cubes in yogurt, lemon, garlic, paprika, and spices; thread onto skewers and grill; serve with rice and grilled peppers, onion, and zucchini."
f8d6ed35-0c74-4d1f-9ae9-9b300fe818ab,Grilled Kofta with Baladi Salad and Tahini,كفتة مشوية مع سلطة بلدي وطحينة,"[""Egyptian kofta"", ""Kofta kebab""]",,4.00,1400.00,404.00,38.00,18.00,20.00,EG,Egyptian,Spotter Curated,spotter-seed-2026-003,seed-v1.0,true,,2026-09-01T17:04:00+03:00,2026-09-01T17:04:00+03:00,"Mix lean minced beef with grated onion, parsley, salt, pepper, and spices; shape around skewers and grill; serve with baladi salad and a measured tahini sauce."
f34ee6f1-82ed-4661-9169-c06de3a74c14,Grilled Tilapia with Rice and Salad,سمك بلطي مشوي مع أرز وسلطة,"[""Egyptian grilled tilapia"", ""Grilled bolti fish""]",,4.00,1720.00,450.00,42.00,48.00,10.00,EG,Egyptian,Spotter Curated,spotter-seed-2026-004,seed-v1.0,true,,2026-09-01T17:04:00+03:00,2026-09-01T17:04:00+03:00,"Season tilapia with garlic, cumin, coriander, lemon, salt, and pepper; grill until flaky; serve with rice and fresh salad."
7994f38f-a664-47b0-81be-586f8cb2fec2,Baked Sea Bass with Lemon and Vegetables,قاروص مخبوز بالليمون والخضار,"[""Baked branzino"", ""Oven baked sea bass""]",,4.00,1600.00,406.00,42.00,28.00,14.00,,Mediterranean,Spotter Curated,spotter-seed-2026-005,seed-v1.0,true,,2026-09-01T17:04:00+03:00,2026-09-01T17:04:00+03:00,"Place sea bass with lemon, garlic, herbs, and a small amount of olive oil; bake until the fish flakes easily; serve with roasted vegetables."
15431135-8b30-497a-b48d-0bda5e593bc0,Ful Medames with Egg and Salad,فول مدمس بالبيض والسلطة,"[""Foul medames with eggs"", ""Fava beans with egg""]",,2.00,700.00,403.00,22.00,45.00,15.00,EG,Egyptian,Spotter Curated,spotter-seed-2026-006,seed-v1.0,true,,2026-09-01T17:04:00+03:00,2026-09-01T17:04:00+03:00,"Warm cooked fava beans with cumin, garlic, lemon, and a small amount of olive oil; top with boiled egg; serve with tomato, cucumber, and herbs."
628a0d68-d9df-43e9-9adb-5ffe1b408271,Light Ful Medames,فول مدمس خفيف,"[""Light foul"", ""Healthy ful""]",,2.00,600.00,280.00,14.00,38.00,8.00,EG,Egyptian,Spotter Curated,spotter-seed-2026-007,seed-v1.0,true,,2026-09-01T17:04:00+03:00,2026-09-01T17:04:00+03:00,"Warm fava beans with cumin, garlic, lemon, tomato, and parsley; mash lightly and finish with a small measured amount of olive oil."
ccf77128-14d8-48df-843b-f0139801a666,Baked Egyptian Taameya,طعمية مصرية مخبوزة,"[""Baked Egyptian falafel"", ""Baked taamiya""]",,4.00,800.00,330.00,18.00,42.00,10.00,EG,Egyptian,Spotter Curated,spotter-seed-2026-008,seed-v1.0,true,,2026-09-01T17:04:00+03:00,2026-09-01T17:04:00+03:00,"Blend soaked split fava beans with herbs, onion, garlic, coriander, and cumin; shape into patties; brush lightly with oil and bake until browned and crisp."
ab9a7f2f-6465-4385-b13d-a3a0f94111c5,Egyptian Lentil Soup,شوربة عدس مصرية,"[""Shorbet ads"", ""Red lentil soup""]",,4.00,1400.00,324.00,18.00,45.00,8.00,EG,Egyptian,Spotter Curated,spotter-seed-2026-009,seed-v1.0,true,,2026-09-01T17:04:00+03:00,2026-09-01T17:04:00+03:00,"Simmer red lentils with onion, carrot, tomato, cumin, and stock until soft; blend to the desired texture; finish with lemon."
9fba998d-8705-41d5-b3f8-5fe6505eea48,Molokhia with Grilled Chicken and Rice,ملوخية بالدجاج المشوي والأرز,"[""Molokhiya chicken rice"", ""Mulukhiyah with chicken""]",,4.00,2000.00,510.00,44.00,52.00,14.00,EG,Egyptian,Spotter Curated,spotter-seed-2026-010,seed-v1.0,true,,2026-09-01T17:04:00+03:00,2026-09-01T17:04:00+03:00,Cook molokhia in seasoned broth; prepare a garlic-coriander tempering and stir it in; serve with grilled chicken and a measured portion of rice.
e38d077d-6d10-454b-8e21-8ea4ff3301a1,Bamia with Lean Beef and Rice,بامية باللحم قليل الدهن والأرز,"[""Egyptian okra stew with beef"", ""Bamia beef""]",,4.00,1800.00,486.00,38.00,52.00,14.00,EG,Egyptian,Spotter Curated,spotter-seed-2026-011,seed-v1.0,true,,2026-09-01T17:04:00+03:00,2026-09-01T17:04:00+03:00,"Brown lean beef; simmer with tomato, garlic, spices, and okra until tender; serve with a controlled portion of cooked rice."
2d5d4461-60b6-4855-9520-e3787834a9d0,Basella with Lean Beef and Rice,بسلة باللحم قليل الدهن والأرز,"[""Egyptian peas and carrots stew"", ""Peas with beef""]",,4.00,1800.00,497.00,37.00,58.00,13.00,EG,Egyptian,Spotter Curated,spotter-seed-2026-012,seed-v1.0,true,,2026-09-01T17:04:00+03:00,2026-09-01T17:04:00+03:00,"Brown lean beef with onion; simmer with peas, carrots, tomato sauce, and spices until tender; serve with cooked rice."
4c10b807-020a-4828-a88b-5e869055ea08,White Bean Stew with Lean Beef,فاصوليا بيضاء بالصلصة واللحم قليل الدهن,"[""Fasolia beida"", ""Egyptian white beans with beef""]",,4.00,1800.00,476.00,38.00,54.00,12.00,EG,Egyptian,Spotter Curated,spotter-seed-2026-013,seed-v1.0,true,,2026-09-01T17:04:00+03:00,2026-09-01T17:04:00+03:00,"Cook white beans until tender; simmer with lean beef, onion, garlic, tomato sauce, and spices until the flavors combine."
87f6156c-094b-4c1f-8bcb-6b4887bd37f3,Green Bean Stew with Lean Beef,فاصوليا خضراء باللحم قليل الدهن,"[""Fasolia khadra"", ""Egyptian green beans with beef""]",,4.00,1720.00,445.00,37.00,45.00,13.00,EG,Egyptian,Spotter Curated,spotter-seed-2026-014,seed-v1.0,true,,2026-09-01T17:04:00+03:00,2026-09-01T17:04:00+03:00,"Brown lean beef with onion; add green beans, tomato sauce, garlic, and spices; simmer until the meat and beans are tender."
